date,equity
2016-04-20,3.642788200942038
2016-04-21,3.643816870517024
2016-04-22,3.478858067367827
2016-04-25,3.4761154717974314
2016-04-26,3.4284446238055795
2016-04-27,3.3461373212804397
2016-04-28,3.227478264573983
2016-04-29,3.1760361514367483
2016-05-02,3.2600587536099157
2016-05-03,3.1732919859776447
2016-05-04,3.110532545154671
2016-05-05,3.1088190116314376
2016-05-06,3.15374392803939
2016-05-09,3.181522716230159
2016-05-10,3.314929896154499
2016-05-11,3.224391667140757
2016-05-12,3.1791225526338853
2016-05-13,3.1407130668304175
2016-05-16,3.2617722871331485
2016-05-17,3.136597603586117
2016-05-18,3.172263120166569
2016-05-19,3.1221938747032403
2016-05-20,3.2264493987629077
2016-05-23,3.2106743720948314
2016-05-24,3.407183228580181
2016-05-25,3.480573563251943
2016-05-26,3.5097232567557324
2016-05-27,3.5625382375668724
2016-05-31,3.583800025264447
2016-06-01,3.5851728929383517
2016-06-02,3.605405618588763
2016-06-03,3.556021237073679
2016-06-06,3.594088290903023
2016-06-07,3.568711432433324
2016-06-08,3.5844864591013996
2016-06-09,3.568711432433324
2016-06-10,3.4486793118168726
2016-06-13,3.3601988144252815
2016-06-14,3.3619143103093987
2016-06-15,3.3317335923975615
2016-06-16,3.3557411154429464
2016-06-17,3.2408531276457846
2016-06-20,3.2991548694864234
2016-06-21,3.3320777904964793
2016-06-22,3.310472197172164
2016-06-23,3.450050609602072
2016-06-24,3.027540378681284
2016-06-27,2.851264247846346
2016-06-28,3.0299405422775583
2016-06-29,3.1873532828863995
2016-06-30,3.303269940258548
2016-07-01,3.3485392510015086
2016-07-05,3.2892086433497942
2016-07-06,3.3667142450297685
2016-07-07,3.3986084964648375
2016-07-08,3.5556790013356445
2016-07-11,3.6163807105364687
2016-07-12,3.673309192231026
2016-07-13,3.6475881356624082
2016-07-14,3.721664904171123
2016-07-15,3.700745744683759
2016-07-18,3.7744798849822625
2016-07-19,3.7353837691057548
2016-07-20,3.863302618111889
2016-07-21,3.8403257270023743
2016-07-22,3.8849082114362052
2016-07-25,3.888337240843554
2016-07-26,3.901369671941233
2016-07-27,3.9775041720720976
2016-07-28,4.020715751192907
2016-07-29,4.047123241598476
2016-08-01,4.11056715389752
2016-08-02,4.017971585733805
2016-08-03,4.056038639563148
2016-08-04,4.09239215986926
2016-08-05,4.21070917707377
2016-08-08,4.19733411776588
2016-08-09,4.225112905956648
2016-08-10,4.192532220684626
2016-08-11,4.246718499280965
2016-08-12,4.254605227670648
2016-08-15,4.308105072430033
2016-08-16,4.240201498787771
2016-08-17,4.260093558588855
2016-08-18,4.264208629360978
2016-08-19,4.25837806270474
2016-08-22,4.262493525949039
