name,cost_bps,tax_mode,tax_rate,CAGR,MDD,Sharpe,Sortino,Calmar,WorstYear,WorstMonth,MaxTUW,MedianTUW,TradesPerYear,AnnualTurnover,FinalValue,NumDays
V4_D1_Ensemble,0,Tax0,0.2,0.3777083629088547,-0.48588947834991514,0.939799944337964,1.015792130392729,0.7773544802648444,-0.3704059943122837,-0.3338198003069882,568,3.0,3.2162162162162162,2.8945945945945946,160.93003320855988,3996
V4_D1_Ensemble,0,Tax0,0.25,0.3777083629088547,-0.48588947834991514,0.939799944337964,1.015792130392729,0.7773544802648444,-0.3704059943122837,-0.3338198003069882,568,3.0,3.2162162162162162,2.8945945945945946,160.93003320855988,3996
V4_D1_Ensemble,0,TaxB,0.0,0.3777083629088547,-0.48588947834991514,0.939799944337964,1.015792130392729,0.7773544802648444,-0.3704059943122837,-0.3338198003069882,568,3.0,3.2162162162162162,2.8945945945945946,160.93003320855988,3996
V4_D1_Ensemble,0,TaxB,0.1,0.3429935713544936,-0.4888607988621291,0.8831859194897492,0.9223373761126462,0.7016180723691579,-0.37040599431228394,-0.33389974682013257,594,3.0,3.2162162162162162,2.8945945945945946,107.37091754331962,3996
V4_D1_Ensemble,0,TaxB,0.2,0.3091427901577992,-0.4918150951105874,0.8265287737979964,0.8307871079342685,0.628575237383242,-0.37040599431228305,-0.33397968415722024,595,3.0,3.2162162162162162,2.8945945945945946,71.62751121340135,3996
V4_D1_Ensemble,0,TaxB,0.25,0.2925347460115646,-0.4932858893726947,0.7981854895738713,0.7859401051176973,0.5930328685938641,-0.3704059943122834,-0.334019649385056,601,3.0,3.2162162162162162,2.8945945945945946,58.499924884695375,3996
V4_D1_Ensemble,2,Tax0,0.0,0.37691149850464645,-0.4868304053791268,0.9385142755827691,1.0137578638073184,0.7742151976130593,-0.3707518435642153,-0.33417831543317245,568,3.0,3.2162162162162162,2.8945945945945946,159.46034866207833,3996
V4_D1_Ensemble,2,Tax0,0.1,0.37691149850464645,-0.4868304053791268,0.9385142755827691,1.0137578638073184,0.7742151976130593,-0.3707518435642153,-0.33417831543317245,568,3.0,3.2162162162162162,2.8945945945945946,159.46034866207833,3996
V4_D1_Ensemble,2,Tax0,0.2,0.37691149850464645,-0.4868304053791268,0.9385142755827691,1.0137578638073184,0.7742151976130593,-0.3707518435642153,-0.33417831543317245,568,3.0,3.2162162162162162,2.8945945945945946,159.46034866207833,3996
V4_D1_Ensemble,2,Tax0,0.25,0.37691149850464645,-0.4868304053791268,0.9385142755827691,1.0137578638073184,0.7742151976130593,-0.3707518435642153,-0.33417831543317245,568,3.0,3.2162162162162162,2.8945945945945946,159.46034866207833,3996
V4_D1_Ensemble,2,TaxB,0.0,0.37691149850464645,-0.4868304053791268,0.9385142755827691,1.0137578638073184,0.7742151976130593,-0.3707518435642153,-0.33417831543317245,568,3.0,3.2162162162162162,2.8945945945945946,159.46034866207833,3996
V4_D1_Ensemble,2,TaxB,0.1,0.34225783741158633,-0.4897878944327365,0.8819681417915415,0.9203850138030317,0.6987878657311103,-0.3707518435642161,-0.3342526257942512,594,3.0,3.2162162162162162,2.8945945945945946,106.44196841412058,3996
V4_D1_Ensemble,2,TaxB,0.2,0.3084656319966732,-0.49272848642649736,0.8253789537531141,0.8289908831096137,0.6260357184416381,-0.37075184356421576,-0.33432692822320675,595,3.0,3.2162162162162162,2.8945945945945946,71.04226323163971,3996
V4_D1_Ensemble,2,TaxB,0.25,0.2918859454969427,-0.49419247595179827,0.7970696705389974,0.7842193014621957,0.5906321113747838,-0.3707518435642153,-0.3343640764633897,601,3.0,3.2162162162162162,2.8945945945945946,58.036018312135454,3996
V4_D1_Ensemble,5,Tax0,0.0,0.3757167971896036,-0.48823889061441683,0.9365848811966883,1.0105862350361003,0.7695347593404296,-0.37127037994760914,-0.3347158469147832,569,3.0,3.2162162162162162,2.8945945945945946,157.28046204624283,3996
V4_D1_Ensemble,5,Tax0,0.1,0.3757167971896036,-0.48823889061441683,0.9365848811966883,1.0105862350361003,0.7695347593404296,-0.37127037994760914,-0.3347158469147832,569,3.0,3.2162162162162162,2.8945945945945946,157.28046204624283,3996
