date,exposure_suggested,spy_ret_1d,overlay_ret_1d,overlay_equity
2022-02-17,0.6837736562,-0.0213605813,-0.0149073229,1.1487009128
2022-02-18,0.6740066274,-0.0064770629,-0.0044288450,1.1436134946
2022-02-22,0.6629306009,-0.0107142254,-0.0072214589,1.1353549367
2022-02-23,0.6556510924,-0.0177495303,-0.0117667068,1.1219955480
2022-02-24,0.6606334002,0.0150498640,0.0098674598,1.1330667940
2022-02-25,0.6736976968,0.0220651211,0.0145769560,1.1495834588
2022-02-28,0.6847362510,-0.0025690077,-0.0017307345,1.1475938350
2022-03-01,0.6736629037,-0.0152305100,-0.0104288823,1.1356257139
2022-03-02,0.7019305228,0.0184081530,0.0124008898,1.1497084833
2022-03-03,0.7064731731,-0.0049712186,-0.0034894501,1.1456966329
2022-03-04,0.6946687371,-0.0081279106,-0.0057421508,1.1391178701
2022-03-07,0.6764257514,-0.0294774572,-0.0204770680,1.1157920760
2022-03-08,0.6657428274,-0.0075788243,-0.0051265119,1.1100719547
2022-03-09,0.6705337645,0.0267976967,0.0178403743,1.1298760539
2022-03-10,0.6686721470,-0.0045095193,-0.0030237849,1.1264595517
2022-03-11,0.6687867136,-0.0127079921,-0.0084974803,1.1168874838
2022-03-14,0.6534500986,-0.0073352195,-0.0049056974,1.1114083718
2022-03-15,0.6689945641,0.0220174632,0.0143873135,1.1273985525
2022-03-16,0.6881258481,0.0221677905,0.0148301314,1.1441180211
2022-03-17,0.6899278898,0.0125084207,0.0086073676,1.1539658655
2022-03-18,0.7027886012,0.0109614366,0.0075626008,1.1626928487
2022-03-21,0.7034481325,-0.0002938052,-0.0002064829,1.1624527725
2022-03-22,0.7154290460,0.0117086383,0.0082364197,1.1720272214
2022-03-23,0.6924359044,-0.0128815009,-0.0092157999,1.1612260531
2022-03-24,0.6912384239,0.0150695445,0.0104346937,1.1733430913
2022-03-25,0.6956079652,0.0048844410,0.0033763133,1.1773046651
2022-03-28,0.6972209033,0.0071133309,0.0049480896,1.1831300742
2022-03-29,0.7051940932,0.0123684265,0.0086235255,1.1933328265
2022-03-30,0.6962821599,-0.0061754386,-0.0043548828,1.1881360019
2022-03-31,0.6944165549,-0.0153864727,-0.0107133264,1.1754071131
2022-04-01,0.6971088976,0.0028269565,0.0019630854,1.1777145376
2022-04-04,0.6967341099,0.0085699983,0.0059742221,1.1847504658
2022-04-05,0.6803602357,-0.0126302596,-0.0087999327,1.1743247415
2022-04-06,0.6834056374,-0.0099957839,-0.0068007339,1.1663384714
2022-04-07,0.6954527719,0.0050331448,0.0034396795,1.1703503020
2022-04-08,0.6949121673,-0.0026704352,-0.0018571616,1.1681767723
2022-04-11,0.6817629902,-0.0170879915,-0.0118746532,1.1543050783
2022-04-12,0.6710243243,-0.0037121394,-0.0025307992,1.1513837639
2022-04-13,0.6839948549,0.0114544397,0.0076862077,1.1602335386
2022-04-14,0.6908927437,-0.0124536582,-0.0085182381,1.1503503930
2022-04-18,0.6940942382,0.0004104924,0.0002836062,1.1506766395
2022-04-19,0.7178057091,0.0161481556,0.0112083417,1.1635738165
2022-04-20,0.7237455835,-0.0007442188,-0.0005342045,1.1629522301
2022-04-21,0.7237540338,-0.0149541976,-0.0108230345,1.1503655580
2022-04-22,0.7162404741,-0.0274382972,-0.0198585783,1.1275209335
2022-04-25,0.7212089263,0.0057974711,0.0041523834,1.1322028328
2022-04-26,0.7128424946,-0.0289592517,-0.0208856709,1.1085560171
2022-04-27,0.7178528443,0.0028097858,0.0020029347,1.1107763824
2022-04-28,0.7410417966,0.0252597842,0.0181328079,1.1309178772
2022-04-29,0.7026786512,-0.0369537291,-0.0273842578,1.0999485305
2022-05-02,0.6912458990,0.0060178481,0.0042286134,1.1045997876
2022-05-03,0.6904566485,0.0045853290,0.0031695898,1.1081009159
2022-05-04,0.7079371604,0.0304552606,0.0210280372,1.1314021031
2022-05-05,0.6980793449,-0.0355431310,-0.0251623032,1.1029334203
2022-05-06,0.6892052786,-0.0059763672,-0.0041719785,1.0983320058
2022-05-09,0.6735776670,-0.0320097132,-0.0220612633,1.0741014142
2022-05-10,0.6688271575,0.0023065357,0.0015536309,1.0757701714
2022-05-11,0.6442809483,-0.0158860644,-0.0106250313,1.0643400797
2022-05-12,0.6535841727,-0.0010454853,-0.0006735862,1.0636231549
2022-05-13,0.6849992761,0.0239115441,0.0156282067,1.0802456775
2022-05-16,0.6811191479,-0.0040599447,-0.0027810591,1.0772414503
2022-05-17,0.6843873511,0.0205705004,0.0140109617,1.0923346390
2022-05-18,0.6651747098,-0.0403117675,-0.0275888638,1.0621983675
2022-05-19,0.6737668301,-0.0061218504,-0.0040721001,1.0578729894
2022-05-20,0.6741177903,0.0004399685,0.0002964361,1.0581865812
2022-05-23,0.6863482730,0.0187065253,0.0126104015,1.0715307388
2022-05-24,0.6933504480,-0.0076363407,-0.0052411892,1.0659146435
2022-05-25,0.6817823027,0.0088304027,0.0061225637,1.0724407737
2022-05-26,0.6813081659,0.0199856963,0.0136258941,1.0870537381
2022-05-27,0.7062166280,0.0245486862,0.0167252204,1.1052349514
2022-05-31,0.7016646143,-0.0056108251,-0.0039624580,1.1008555044
2022-06-01,0.6863083268,-0.0080892474,-0.0056759387,1.0946071161
2022-06-02,0.7031165382,0.0190500971,0.0130742402,1.1089182725
